"Signature","Rank","COSMIC","Similarity"
"Sig1",1,"SBS95",0.814
"Sig1",2,"SBS4",0.802
"Sig1",3,"SBS94",0.759
"Sig2",1,"SBS1",0.871
"Sig2",2,"SBS6",0.86
"Sig2",3,"SBS15",0.776
