"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2","Cosine_Sig3","PeakSensitive_Sig3","Cosine_Sig4","PeakSensitive_Sig4","Cosine_Sig5","PeakSensitive_Sig5","Cosine_Sig6","PeakSensitive_Sig6","Cosine_Sig7","PeakSensitive_Sig7"
"SBS40b",0.124,0.171869028642696,0.23,0.308769992203729,0.292,0.388095661415947,0.487,0.577281479573166,0.395,0.483966796057072,0.312,0.419503363825131,0.457,0.564839044522958
"SBS40c",0.201,0.26591001356866,0.313,0.421019281586705,0.464,0.605307310092311,0.493,0.591242050874187,0.477,0.560667633299069,0.376,0.491317844145875,0.427,0.518000451106267
"SBS41",0.135,0.164398903857468,0.068,0.0842080519216269,0.221,0.269322744721933,0.357,0.390009788766016,0.179,0.200829534669931,0.158,0.180271308565524,0.278,0.317768046618168
"SBS43",0.013,0.0152574260361331,0.099,0.118249947482718,0.061,0.069474349818657,0.163,0.180859304995548,0.095,0.101817618794302,0.082,0.0928384011260115,0.137,0.146571119336063
"SBS44",0.299,0.325969470864591,0.429,0.484498041703789,0.431,0.453918048069473,0.261,0.279711529586893,0.372,0.401342136165521,0.164,0.194373742915214,0.221,0.247639526176257
"SBS45",0.018,0.0203260731937022,0.673,0.684331172277704,0.092,0.104980617099374,0.106,0.118695741049559,0.319,0.357254078569948,0.401,0.457179119617517,0.211,0.241662097380025
"SBS46",0.103,0.125874048555574,0.129,0.176939784588535,0.262,0.325663488703217,0.282,0.327109959916279,0.351,0.391250753969033,0.251,0.333474899480597,0.287,0.381258710869652
"SBS47",0.05,0.0633369321721635,0.1,0.118744931702591,0.089,0.107761342883559,0.247,0.260848018520692,0.154,0.168657496061579,0.16,0.181103451089707,0.082,0.0952843404667486
"SBS48",0.004,0.00443800341416912,0.065,0.0656206823638999,0.002,0.00239318120351536,0.022,0.0222687265406133,0.089,0.0892023434697668,0.02,0.0201117767507743,0.043,0.043762075059652
"SBS49",0.005,0.00531708510046668,0.173,0.173256109224187,0.045,0.0456822568924821,0.026,0.0282186097149967,0.187,0.204768762006972,0.275,0.278278314617263,0.292,0.294617054477093
"SBS50",0.083,0.101138941334484,0.158,0.176400304650714,0.223,0.26776719872407,0.334,0.340856565491918,0.304,0.339288681966876,0.303,0.315657166763114,0.138,0.151161458704477
"SBS51",0.098,0.120381311871966,0.186,0.213006010460193,0.173,0.200243503364117,0.268,0.299161565680512,0.238,0.269350319037304,0.176,0.197751839081276,0.123,0.135307240114635
"SBS52",0.015,0.0151175689828016,0.138,0.13808615608756,0.044,0.046170524797012,0.157,0.163649431561964,0.387,0.407775125280785,0.109,0.114245211155399,0.062,0.0650722323005117
"SBS53",0.058,0.0616712755151024,0.148,0.156333153753329,0.159,0.16933180187399,0.094,0.100297850386206,0.129,0.131915486182132,0.556,0.563533026434633,0.294,0.307460336516996
"SBS54",0.109,0.121670554514457,0.085,0.0969461089997084,0.309,0.337805663715614,0.146,0.16635469015317,0.169,0.177757083233209,0.069,0.0790908233932496,0.16,0.168473270771078
"SBS55",0.04,0.0467783172311377,0.091,0.102087702331075,0.056,0.0593293850484242,0.128,0.141597897802186,0.055,0.0670639690436124,0.056,0.0633946443837418,0.147,0.165593603963617
"SBS56",0.021,0.0239009690046311,0.288,0.327841437453628,0.041,0.0474207458423016,0.209,0.212432311936592,0.29,0.291890796587668,0.038,0.0443832708889799,0.141,0.163050425088694
