"Signature","Rank","COSMIC","Similarity"
"Sig1",1,"SBS1",0.899913339709345
"Sig1",2,"SBS6",0.855999302468436
"Sig1",3,"SBS15",0.781356123885218
"Sig2",1,"SBS4",0.842261457470057
"Sig2",2,"SBS94",0.792988407932681
"Sig2",3,"SBS95",0.742259253514898
"Sig3",1,"SBS6",0.630609920896462
"Sig3",2,"SBS5",0.62430232047272
"Sig3",3,"SBS42",0.623461234663714
"Sig4",1,"SBS3",0.68637275058133
"Sig4",2,"SBS40a",0.646031689527046
"Sig4",3,"SBS25",0.640012217332707
"Sig5",1,"SBS40a",0.573313347925559
"Sig5",2,"SBS25",0.562578053758559
"Sig5",3,"SBS40c",0.560667633299069
"Sig6",1,"SBS40a",0.690088583831934
"Sig6",2,"SBS94",0.677009819886042
"Sig6",3,"SBS24",0.644367736874278
"Sig7",1,"SBS17b",0.669085627796252
"Sig7",2,"SBS9",0.668528946907963
"Sig7",3,"SBS3",0.582497290515413
