"k","mean_best_cosine","mean_best_peak_sensitive"
2,0.8425,0.844502620320923
3,0.807333333333333,0.832919572701333
4,0.7205,0.772696215731598
5,0.6884,0.748273941064392
6,0.697333333333333,0.754757445694706
7,0.652571428571429,0.713092146887277
