"","sample","Sig1","Sig2","Sig3","Sig4","Sig5"
"57","TUMOR_64_dbgap","1.080408e-14","4.613010e-15","9.423564e-12","3.171984e-01","6.828016e-01"
"58","TUMOR_65_dbgap","6.513661e-01","1.399857e-09","9.291582e-02","4.427689e-15","2.557177e-01"
"59","TUMOR_67_dbgap","3.510914e-01","1.841853e-01","4.647231e-01","4.427689e-15","4.235457e-15"
"60","TUMOR_68_dbgap","8.891263e-02","7.410096e-01","1.700781e-01","4.427689e-15","4.235457e-15"
"61","TUMOR_69_dbgap","3.437665e-01","2.428014e-01","2.353823e-01","4.526848e-04","1.775970e-01"
"62","TUMOR_7","5.129379e-15","8.406881e-12","3.772744e-01","6.227258e-01","1.164677e-11"
"63","TUMOR_7_dbgap","3.126137e-01","1.768234e-01","4.539186e-15","4.427689e-15","5.105627e-01"
"64","TUMOR_74_dbgap","8.795658e-01","2.912554e-02","4.278412e-02","3.654283e-02","1.198126e-02"
"65","TUMOR_75_dbgap","5.194432e-01","2.008076e-02","4.539186e-15","2.687146e-01","1.917613e-01"
"66","TUMOR_76_dbgap","5.505645e-11","2.084737e-11","4.539186e-15","1.000000e+00","4.989772e-12"
"67","TUMOR_8","3.057640e-01","9.534749e-02","2.144224e-11","4.427689e-15","5.988883e-01"
"68","TUMOR_8_dbgap","5.834039e-01","4.159454e-11","1.313105e-01","2.852855e-01","4.975126e-12"
"69","TUMOR_80_dbgap","5.129379e-15","4.613010e-15","4.430502e-01","5.569499e-01","7.534321e-11"
"70","TUMOR_9","2.589662e-12","4.613010e-15","5.693200e-01","4.306801e-01","8.394977e-12"
"71","TUMOR_9_dbgap","5.129379e-15","9.266654e-02","1.747954e-01","4.205824e-01","3.119558e-01"
