"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2","Cosine_Sig3","PeakSensitive_Sig3","Cosine_Sig4","PeakSensitive_Sig4","Cosine_Sig5","PeakSensitive_Sig5","Cosine_Sig6","PeakSensitive_Sig6"
"SBS84",0.183,0.202126442213131,0.13,0.156615484096186,0.203,0.234954249664556,0.299,0.3360172845491,0.184,0.209458906909682,0.289,0.356892100562669
"SBS85",0.025,0.0338980386705307,0.041,0.0541580577087633,0.184,0.202484704929878,0.095,0.125063772813889,0.203,0.227910658729811,0.118,0.157037820539209
"SBS86",0.119,0.13762049217056,0.073,0.0835172422165172,0.362,0.378455145278447,0.207,0.22152481849369,0.272,0.312692399957177,0.208,0.231586056003128
"SBS87",0.673,0.742475961973842,0.194,0.236765306105349,0.349,0.355443234938127,0.368,0.49510877713703,0.238,0.267566183860699,0.122,0.16165495135935
"SBS88",0.057,0.086933258247428,0.047,0.061830385332307,0.176,0.217670582506897,0.031,0.0494827433626911,0.189,0.216400261125635,0.128,0.175414993025338
"SBS89",0.102,0.143228447020833,0.399,0.47046059964768,0.438,0.519860497387524,0.353,0.470220993918006,0.403,0.517766526559189,0.407,0.489276706151511
"SBS90",0.004,0.00499110516504209,0.02,0.0231027002326464,0.085,0.0922692653039161,0.012,0.0138002010329759,0.068,0.0772990021523196,0.082,0.0897679008355594
"SBS91",0.016,0.0163115892113235,0.116,0.117160509377382,0.284,0.284006420238167,0.081,0.0822538851685155,0.086,0.0877633827290266,0.093,0.0938463259055475
"SBS92",0.202,0.232833891898805,0.282,0.390456913431366,0.379,0.46245391003683,0.385,0.494424115670169,0.391,0.492222948615078,0.286,0.364921546959514
"SBS93",0.171,0.258051805014321,0.143,0.216802986292752,0.31,0.414517094137285,0.267,0.409604379698351,0.247,0.32299678126405,0.422,0.483321050853114
"SBS94",0.261,0.326306398789905,0.714,0.817506822873173,0.41,0.456105271022042,0.554,0.641473917454912,0.298,0.349723305180364,0.39,0.439152503272327
"SBS95",0.124,0.145096222111938,0.729,0.75912003516875,0.465,0.522062763229865,0.562,0.609480917276272,0.233,0.256103029575577,0.416,0.45112509823008
"SBS96",0.173,0.250491728724607,0.164,0.204689726594333,0.31,0.404382092910508,0.177,0.249148572761961,0.386,0.434025418986337,0.299,0.368883213355922
"SBS97",0.176,0.178490768579981,0.062,0.0626985435206983,0.159,0.160470494533813,0.311,0.34513908284313,0.144,0.156789738669777,0.119,0.13296889480282
"SBS98",0.332,0.402883234863531,0.165,0.190882674587911,0.287,0.348338143670335,0.263,0.300542530435716,0.169,0.202313948760067,0.22,0.272436058644321
"SBS99",0.118,0.14783573981464,0.136,0.176476199413984,0.252,0.299795907881981,0.338,0.387925858725562,0.183,0.240257384635584,0.32,0.364162720327616
