"cluster","Sig1","Sig2","Sig3","dominant_by_mean"
1,0.272051901056571,0.276341724579569,0.45160637436386,"Sig3"
2,0.193114475182969,0.54339147168869,0.26349405312834,"Sig2"
3,0.737382562086708,0.11414724050415,0.148470197409142,"Sig1"
