"Signature","Rank","COSMIC","Similarity"
"Sig1",1,"SBS1",0.877865835424196
"Sig1",2,"SBS6",0.872993310880615
"Sig1",3,"SBS15",0.783388862299942
"Sig2",1,"SBS95",0.847319329110616
"Sig2",2,"SBS4",0.846285660690824
"Sig2",3,"SBS29",0.833419912511939
"Sig3",1,"SBS3",0.773573553569187
"Sig3",2,"SBS40a",0.668779711897274
"Sig3",3,"SBS40b",0.644605250618991
