"COSMIC","Cosine_Sig1","PeakSensitive_Sig1","Cosine_Sig2","PeakSensitive_Sig2","Cosine_Sig3","PeakSensitive_Sig3","Cosine_Sig4","PeakSensitive_Sig4"
"SBS52",0.019,0.0194026534810503,0.214,0.213603033155534,0.183,0.191753247154861,0.156,0.162213814732018
"SBS53",0.073,0.0775170796926852,0.178,0.179722857826939,0.388,0.389279862572743,0.321,0.335613158604866
"SBS54",0.192,0.194254750636408,0.103,0.11817711046345,0.128,0.129556369650251,0.196,0.205838095756429
"SBS55",0.046,0.0552482026773918,0.092,0.104514903806327,0.076,0.0802186357087271,0.172,0.193898902983845
"SBS56",0.033,0.037550022008128,0.338,0.338466078531158,0.086,0.0870023652335624,0.208,0.208595881913431
"SBS57",0.145,0.175451820537145,0.133,0.156486311738415,0.165,0.194251232039279,0.246,0.255043820428385
"SBS58",0.117,0.134436453138701,0.202,0.21162255408356,0.284,0.298629225103889,0.198,0.246388631632566
"SBS59",0.009,0.00961065824390369,0.348,0.348480184668265,0.242,0.242979426434228,0.332,0.332068054061048
"SBS60",0.013,0.0126769226381686,0.062,0.0619750289513442,0.019,0.0188541117982324,0.086,0.0867492462298433
"SBS84",0.219,0.234502751126271,0.161,0.191961558770902,0.298,0.321499326252914,0.283,0.347561321158232
"SBS85",0.071,0.0805949558471525,0.079,0.0946171494809326,0.167,0.178457905698063,0.142,0.171420979377122
"SBS86",0.138,0.157170768969184,0.168,0.177955912113034,0.339,0.352263343329978,0.278,0.308534778395382
"SBS87",0.658,0.722361884991147,0.32,0.327270873465409,0.366,0.460797230683109,0.134,0.17696733995157
"SBS88",0.083,0.106587886008546,0.116,0.149390504178841,0.103,0.124670088398398,0.135,0.172314209627882
"SBS89",0.155,0.205880502812196,0.443,0.489081414601366,0.513,0.592823880333372,0.479,0.561441108758188
"SBS90",0.022,0.0259844944020359,0.019,0.0220177022124567,0.062,0.0671880694524467,0.093,0.0944889112976388
"SBS91",0.03,0.0295987995981522,0.191,0.192043637330744,0.152,0.154133376553144,0.109,0.109474832379248
"SBS92",0.263,0.28689989076314,0.35,0.438703609009977,0.479,0.554769983289245,0.331,0.408155547413936
"SBS93",0.2,0.283020115321566,0.206,0.291658180429058,0.341,0.448331944518239,0.427,0.474770401476613
"SBS94",0.294,0.350995171420337,0.734,0.787898203189382,0.55,0.613579619597436,0.46,0.505711399379351
"SBS95",0.147,0.170001070261721,0.744,0.772847794394488,0.586,0.615869643263522,0.498,0.534066659771264
"SBS96",0.226,0.290099294512212,0.222,0.278164448928048,0.297,0.367041534184767,0.372,0.440908368304997
"SBS97",0.2,0.201080179982748,0.089,0.089157401889548,0.303,0.305142840651058,0.128,0.14070276366992
"SBS98",0.328,0.395461947667168,0.242,0.270523712604622,0.308,0.340811104001905,0.218,0.26869404486475
"SBS99",0.146,0.179974901021449,0.181,0.221608431760201,0.37,0.415677186529745,0.312,0.355371096780376
